"","chr","start","end"
"347","1",184500000,1.85e+08
"348","1",1.85e+08,185500000
"349","1",185500000,1.86e+08
"350","1",1.86e+08,186500000
"351","1",186500000,1.87e+08
"352","1",1.87e+08,187500000
"353","1",187500000,1.88e+08
"354","1",1.88e+08,188500000
"355","1",188500000,1.89e+08
"356","1",1.89e+08,189500000
"357","1",189500000,1.9e+08
"358","1",1.9e+08,190500000
"359","1",190500000,1.91e+08
"360","1",1.91e+08,191500000
"361","1",191500000,1.92e+08
"362","1",1.92e+08,192500000
"363","1",192500000,1.93e+08
"364","1",1.93e+08,193500000
"365","1",193500000,1.94e+08
"366","1",1.94e+08,194500000
"367","1",194500000,1.95e+08
"368","1",1.95e+08,195500000
"369","1",195500000,1.96e+08
"370","1",1.96e+08,196500000
"371","1",196500000,1.97e+08
"372","1",1.97e+08,197500000
"373","1",197500000,1.98e+08
"374","1",1.98e+08,198500000
"375","1",198500000,1.99e+08
"376","1",1.99e+08,199500000
"377","1",199500000,2e+08
"378","1",2e+08,200500000
"379","1",200500000,2.01e+08
"380","1",2.01e+08,201500000
"381","1",201500000,2.02e+08
"382","1",2.02e+08,202500000
"383","1",202500000,2.03e+08
"384","1",2.03e+08,203500000
"385","1",203500000,2.04e+08
"386","1",2.04e+08,204500000
"387","1",204500000,2.05e+08
"388","1",2.05e+08,205500000
"389","1",205500000,2.06e+08
"390","1",2.06e+08,206500000
"391","1",206500000,2.07e+08
"392","1",2.07e+08,207500000
"393","1",207500000,2.08e+08
"394","1",2.08e+08,208500000
"395","1",208500000,2.09e+08
"396","1",2.09e+08,209500000
"397","1",209500000,2.1e+08
"398","1",2.1e+08,210500000
"399","1",210500000,2.11e+08
"400","1",2.11e+08,211500000
"401","1",211500000,2.12e+08
"402","1",2.12e+08,212500000
"403","1",212500000,2.13e+08
"404","1",2.13e+08,213500000
"405","1",213500000,2.14e+08
"406","1",2.14e+08,214500000
"407","1",214500000,2.15e+08
"408","1",2.15e+08,215500000
"409","1",215500000,2.16e+08
"410","1",2.16e+08,216500000
"411","1",216500000,2.17e+08
"412","1",2.17e+08,217500000
"413","1",217500000,2.18e+08
"414","1",2.18e+08,218500000
"415","1",218500000,2.19e+08
"416","1",2.19e+08,219500000
"417","1",219500000,2.2e+08
"418","1",2.2e+08,220500000
"419","1",220500000,2.21e+08
"420","1",2.21e+08,221500000
"421","1",221500000,2.22e+08
"422","1",2.22e+08,222500000
"423","1",222500000,2.23e+08
"424","1",2.23e+08,223500000
"425","1",223500000,2.24e+08
"426","1",224500000,2.25e+08
"427","1",2.25e+08,225500000
"428","1",225500000,2.26e+08
"429","1",2.26e+08,226500000
"430","1",226500000,2.27e+08
"431","1",2.27e+08,227500000
"432","1",227500000,2.28e+08
"433","1",2.28e+08,228500000
"434","1",228500000,2.29e+08
"435","1",2.29e+08,229500000
"436","1",229500000,2.3e+08
"437","1",2.3e+08,230500000
"438","1",230500000,2.31e+08
"439","1",2.31e+08,231500000
"440","1",231500000,2.32e+08
"441","1",2.32e+08,232500000
"442","1",232500000,2.33e+08
"443","1",233500000,2.34e+08
"444","1",2.34e+08,234500000
"445","1",234500000,2.35e+08
"446","1",2.35e+08,235500000
"447","1",235500000,2.36e+08
"448","1",236500000,2.37e+08
"449","1",2.37e+08,237500000
"450","1",238500000,2.39e+08
"451","1",2.39e+08,239500000
"452","1",239500000,2.4e+08
"453","1",2.4e+08,240500000
"454","1",240500000,2.41e+08
"455","1",2.41e+08,241500000
"456","1",241500000,2.42e+08
"457","1",2.42e+08,242500000
"458","1",242500000,2.43e+08
"459","1",2.43e+08,243500000
"460","1",243500000,2.44e+08
"461","1",2.44e+08,244500000
"462","1",244500000,2.45e+08
"463","1",2.45e+08,245500000
"464","1",245500000,2.46e+08
"465","1",2.46e+08,246500000
"466","1",246500000,2.47e+08
"467","1",2.47e+08,247500000
"468","1",247500000,2.48e+08
"469","1",2.48e+08,248500000
"470","1",248500000,2.49e+08
"471","2",1e+06,1500000
"472","2",1500000,2e+06
"473","2",2e+06,2500000
"474","2",2500000,3e+06
"475","2",3e+06,3500000
"476","2",3500000,4e+06
"477","2",4e+06,4500000
"478","2",4500000,5e+06
"479","2",5e+06,5500000
"480","2",5500000,6e+06
"481","2",6e+06,6500000
"482","2",6500000,7e+06
"483","2",7e+06,7500000
"484","2",7500000,8e+06
"485","2",8e+06,8500000
"486","2",8500000,9e+06
"487","2",9e+06,9500000
"488","2",9500000,1e+07
"489","2",1e+07,10500000
"490","2",10500000,1.1e+07
"491","2",1.1e+07,11500000
"492","2",11500000,1.2e+07
"493","2",1.2e+07,12500000
"494","2",12500000,1.3e+07
"495","2",1.3e+07,13500000
"496","2",13500000,1.4e+07
"497","2",1.4e+07,14500000
"498","2",14500000,1.5e+07
"499","2",1.5e+07,15500000
"500","2",15500000,1.6e+07
"501","2",1.6e+07,16500000
"502","2",16500000,1.7e+07
"503","2",1.7e+07,17500000
"504","2",17500000,1.8e+07
"505","2",1.8e+07,18500000
"506","2",18500000,1.9e+07
"507","2",1.9e+07,19500000
"508","2",19500000,2e+07
"509","2",2e+07,20500000
"510","2",20500000,2.1e+07
"511","2",2.1e+07,21500000
"512","2",21500000,2.2e+07
"513","2",2.2e+07,22500000
"514","2",22500000,2.3e+07
"515","2",2.3e+07,23500000
"516","2",23500000,2.4e+07
"517","2",2.4e+07,24500000
"518","2",24500000,2.5e+07
"519","2",2.5e+07,25500000
"520","2",25500000,2.6e+07
"521","2",2.6e+07,26500000
"522","2",26500000,2.7e+07
"523","2",2.7e+07,27500000
"524","2",27500000,2.8e+07
"525","2",2.8e+07,28500000
"526","2",28500000,2.9e+07
"527","2",2.9e+07,29500000
"528","2",29500000,3e+07
"529","2",3e+07,30500000
"530","2",30500000,3.1e+07
"531","2",3.1e+07,31500000
"532","2",31500000,3.2e+07
"533","2",3.2e+07,32500000
"534","2",32500000,3.3e+07
"535","2",3.3e+07,33500000
"536","2",33500000,3.4e+07
"537","2",3.4e+07,34500000
"538","2",34500000,3.5e+07
"539","2",3.5e+07,35500000
"540","2",35500000,3.6e+07
"541","2",3.6e+07,36500000
"542","2",36500000,3.7e+07
"543","2",3.7e+07,37500000
"544","2",37500000,3.8e+07
"545","2",3.8e+07,38500000
"546","2",38500000,3.9e+07
"547","2",3.9e+07,39500000
"548","2",39500000,4e+07
"549","2",4e+07,40500000
"550","2",40500000,4.1e+07
"551","2",4.1e+07,41500000
"552","2",41500000,4.2e+07
"553","2",4.2e+07,42500000
"554","2",42500000,4.3e+07
"555","2",4.3e+07,43500000
"556","2",43500000,4.4e+07
"557","2",4.4e+07,44500000
"558","2",44500000,4.5e+07
"559","2",4.5e+07,45500000
"560","2",45500000,4.6e+07
"561","2",4.6e+07,46500000
"562","2",46500000,4.7e+07
"563","2",4.7e+07,47500000
"564","2",47500000,4.8e+07
"565","2",4.8e+07,48500000
"566","2",48500000,4.9e+07
"567","2",49500000,5e+07
"568","2",5e+07,50500000
"569","2",50500000,5.1e+07
"570","2",5.1e+07,51500000
"571","2",51500000,5.2e+07
"572","2",5.2e+07,52500000
"573","2",52500000,5.3e+07
"574","2",5.3e+07,53500000
"575","2",53500000,5.4e+07
"576","2",5.4e+07,54500000
"577","2",54500000,5.5e+07
"578","2",5.5e+07,55500000
"579","2",55500000,5.6e+07
"580","2",5.6e+07,56500000
"581","2",56500000,5.7e+07
"582","2",5.7e+07,57500000
"583","2",57500000,5.8e+07
"584","2",5.8e+07,58500000
"585","2",58500000,5.9e+07
"586","2",5.9e+07,59500000
"587","2",59500000,6e+07
"588","2",6e+07,60500000
"589","2",60500000,6.1e+07
"590","2",6.1e+07,61500000
"591","2",61500000,6.2e+07
"592","2",6.2e+07,62500000
"593","2",62500000,6.3e+07
"594","2",6.3e+07,63500000
"595","2",63500000,6.4e+07
"596","2",6.4e+07,64500000
"597","2",64500000,6.5e+07
"598","2",6.5e+07,65500000
"599","2",65500000,6.6e+07
"600","2",6.6e+07,66500000
"601","2",66500000,6.7e+07
"602","2",6.7e+07,67500000
"603","2",67500000,6.8e+07
"604","2",6.8e+07,68500000
"605","2",68500000,6.9e+07
"606","2",6.9e+07,69500000
"607","2",69500000,7e+07
"608","2",7e+07,70500000
"609","2",70500000,7.1e+07
"610","2",7.1e+07,71500000
"611","2",71500000,7.2e+07
"612","2",7.2e+07,72500000
"613","2",72500000,7.3e+07
"614","2",7.3e+07,73500000
"615","2",73500000,7.4e+07
"616","2",7.4e+07,74500000
"617","2",74500000,7.5e+07
"618","2",7.5e+07,75500000
"619","2",75500000,7.6e+07
"620","2",7.6e+07,76500000
"621","2",76500000,7.7e+07
"622","2",7.7e+07,77500000
"623","2",77500000,7.8e+07
"624","2",7.8e+07,78500000
"625","2",78500000,7.9e+07
"626","2",7.9e+07,79500000
"627","2",79500000,8e+07
"628","2",8e+07,80500000
"629","2",80500000,8.1e+07
"630","2",8.1e+07,81500000
"631","2",81500000,8.2e+07
"632","2",8.2e+07,82500000
"633","2",82500000,8.3e+07
"634","2",8.3e+07,83500000
"635","2",83500000,8.4e+07
"636","2",8.4e+07,84500000
"637","2",84500000,8.5e+07
"638","2",8.5e+07,85500000
"639","2",85500000,8.6e+07
"640","2",8.6e+07,86500000
"641","2",86500000,8.7e+07
"642","2",8.7e+07,87500000
"643","2",87500000,8.8e+07
"644","2",88500000,8.9e+07
"645","2",8.9e+07,89500000
"646","2",9.1e+07,91500000
"647","2",95500000,9.6e+07
"648","2",9.6e+07,96500000
"649","2",96500000,9.7e+07
"650","2",9.7e+07,97500000
"651","2",97500000,9.8e+07
"652","2",9.8e+07,98500000
"653","2",98500000,9.9e+07
"654","2",9.9e+07,99500000
"655","2",99500000,1e+08
"656","2",1e+08,100500000
"657","2",100500000,1.01e+08
"658","2",1.01e+08,101500000
"659","2",101500000,1.02e+08
"660","2",1.02e+08,102500000
"661","2",102500000,1.03e+08
"662","2",1.03e+08,103500000
"663","2",103500000,1.04e+08
"664","2",1.04e+08,104500000
"665","2",104500000,1.05e+08
"666","2",1.05e+08,105500000
"667","2",105500000,1.06e+08
"668","2",1.06e+08,106500000
"669","2",106500000,1.07e+08
"670","2",1.07e+08,107500000
"671","2",107500000,1.08e+08
"672","2",1.08e+08,108500000
"673","2",108500000,1.09e+08
"674","2",1.09e+08,109500000
"675","2",109500000,1.1e+08
"676","2",1.1e+08,110500000
"677","2",110500000,1.11e+08
"678","2",1.11e+08,111500000
"679","2",111500000,1.12e+08
"680","2",1.12e+08,112500000
"681","2",112500000,1.13e+08
"682","2",1.13e+08,113500000
"683","2",113500000,1.14e+08
"684","2",1.14e+08,114500000
"685","2",114500000,1.15e+08
"686","2",1.15e+08,115500000
"687","2",1.16e+08,116500000
"688","2",116500000,1.17e+08
"689","2",1.17e+08,117500000
"690","2",1.18e+08,118500000
"691","2",118500000,1.19e+08
"692","2",1.19e+08,119500000
"693","2",119500000,1.2e+08
"694","2",1.2e+08,120500000
"695","2",120500000,1.21e+08
"696","2",1.21e+08,121500000
"697","2",121500000,1.22e+08
"698","2",1.22e+08,122500000
"699","2",122500000,1.23e+08
"700","2",1.23e+08,123500000
"701","2",123500000,1.24e+08
"702","2",1.24e+08,124500000
"703","2",124500000,1.25e+08
"704","2",1.25e+08,125500000
"705","2",125500000,1.26e+08
"706","2",1.26e+08,126500000
"707","2",126500000,1.27e+08
"708","2",1.27e+08,127500000
"709","2",127500000,1.28e+08
"710","2",1.28e+08,128500000
"711","2",128500000,1.29e+08
"712","2",1.29e+08,129500000
"713","2",129500000,1.3e+08
"714","2",1.3e+08,130500000
"715","2",130500000,1.31e+08
"716","2",1.31e+08,131500000
"717","2",131500000,1.32e+08
"718","2",1.32e+08,132500000
"719","2",133500000,1.34e+08
"720","2",1.34e+08,134500000
"721","2",134500000,1.35e+08
"722","2",1.35e+08,135500000
"723","2",135500000,1.36e+08
"724","2",1.36e+08,136500000
"725","2",136500000,1.37e+08
"726","2",1.37e+08,137500000
"727","2",137500000,1.38e+08
"728","2",1.38e+08,138500000
"729","2",138500000,1.39e+08
"730","2",1.39e+08,139500000
"731","2",139500000,1.4e+08
"732","2",1.4e+08,140500000
"733","2",140500000,1.41e+08
"734","2",1.41e+08,141500000
"735","2",141500000,1.42e+08
"736","2",1.42e+08,142500000
"737","2",142500000,1.43e+08
"738","2",1.43e+08,143500000
"739","2",1.44e+08,144500000
"740","2",144500000,1.45e+08
"741","2",1.45e+08,145500000
"742","2",145500000,1.46e+08
"743","2",1.46e+08,146500000
"744","2",146500000,1.47e+08
"745","2",1.47e+08,147500000
"746","2",147500000,1.48e+08
"747","2",148500000,1.49e+08
"748","2",1.49e+08,149500000
"749","2",1.5e+08,150500000
"750","2",150500000,1.51e+08
"751","2",1.51e+08,151500000
"752","2",151500000,1.52e+08
"753","2",1.52e+08,152500000
"754","2",152500000,1.53e+08
"755","2",1.53e+08,153500000
"756","2",153500000,1.54e+08
"757","2",1.54e+08,154500000
"758","2",154500000,1.55e+08
"759","2",1.55e+08,155500000
"760","2",155500000,1.56e+08
"761","2",156500000,1.57e+08
"762","2",1.57e+08,157500000
"763","2",157500000,1.58e+08
"764","2",1.58e+08,158500000
"765","2",158500000,1.59e+08
"766","2",1.59e+08,159500000
"767","2",159500000,1.6e+08
"768","2",1.6e+08,160500000
"769","2",160500000,1.61e+08
"770","2",1.61e+08,161500000
"771","2",161500000,1.62e+08
"772","2",162500000,1.63e+08
"773","2",1.63e+08,163500000
"774","2",163500000,1.64e+08
"775","2",1.64e+08,164500000
"776","2",164500000,1.65e+08
"777","2",1.65e+08,165500000
"778","2",165500000,1.66e+08
"779","2",1.66e+08,166500000
"780","2",166500000,1.67e+08
"781","2",1.67e+08,167500000
"782","2",167500000,1.68e+08
"783","2",1.68e+08,168500000
"784","2",168500000,1.69e+08
"785","2",1.69e+08,169500000
"786","2",169500000,1.7e+08
"787","2",1.7e+08,170500000
"788","2",170500000,1.71e+08
"789","2",1.71e+08,171500000
"790","2",171500000,1.72e+08
"791","2",1.72e+08,172500000
"792","2",172500000,1.73e+08
"793","2",1.73e+08,173500000
"794","2",173500000,1.74e+08
"795","2",1.74e+08,174500000
"796","2",174500000,1.75e+08
"797","2",1.75e+08,175500000
"798","2",175500000,1.76e+08
"799","2",1.76e+08,176500000
"800","2",176500000,1.77e+08
"801","2",1.77e+08,177500000
"802","2",177500000,1.78e+08
"803","2",1.78e+08,178500000
"804","2",178500000,1.79e+08
"805","2",1.79e+08,179500000
"806","2",179500000,1.8e+08
"807","2",1.8e+08,180500000
"808","2",180500000,1.81e+08
"809","2",1.81e+08,181500000
"810","2",181500000,1.82e+08
"811","2",1.82e+08,182500000
"812","2",182500000,1.83e+08
"813","2",1.83e+08,183500000
"814","2",183500000,1.84e+08
"815","2",1.84e+08,184500000
"816","2",184500000,1.85e+08
"817","2",1.85e+08,185500000
"818","2",185500000,1.86e+08
"819","2",1.86e+08,186500000
"820","2",186500000,1.87e+08
"821","2",1.87e+08,187500000
"822","2",187500000,1.88e+08
"823","2",1.88e+08,188500000
"824","2",188500000,1.89e+08
"825","2",1.89e+08,189500000
"826","2",189500000,1.9e+08
"827","2",1.9e+08,190500000
"828","2",190500000,1.91e+08
"829","2",1.91e+08,191500000
"830","2",191500000,1.92e+08
"831","2",1.92e+08,192500000
"832","2",192500000,1.93e+08
"833","2",1.93e+08,193500000
"834","2",193500000,1.94e+08
"835","2",1.94e+08,194500000
"836","2",194500000,1.95e+08
"837","2",1.95e+08,195500000
"838","2",195500000,1.96e+08
"839","2",1.96e+08,196500000
"840","2",196500000,1.97e+08
"841","2",1.97e+08,197500000
"842","2",197500000,1.98e+08
"843","2",1.98e+08,198500000
"844","2",198500000,1.99e+08
"845","2",1.99e+08,199500000
"846","2",199500000,2e+08
"847","2",2e+08,200500000
"848","2",200500000,2.01e+08
"849","2",2.01e+08,201500000
"850","2",201500000,2.02e+08
"851","2",2.02e+08,202500000
"852","2",202500000,2.03e+08
"853","2",2.03e+08,203500000
"854","2",203500000,2.04e+08
"855","2",2.04e+08,204500000
"856","2",204500000,2.05e+08
"857","2",2.05e+08,205500000
"858","2",205500000,2.06e+08
"859","2",2.06e+08,206500000
"860","2",206500000,2.07e+08
"861","2",2.07e+08,207500000
"862","2",207500000,2.08e+08
"863","2",2.08e+08,208500000
"864","2",208500000,2.09e+08
"865","2",2.09e+08,209500000
"866","2",209500000,2.1e+08
"867","2",2.1e+08,210500000
"868","2",210500000,2.11e+08
"869","2",2.11e+08,211500000
"870","2",211500000,2.12e+08
"871","2",2.12e+08,212500000
"872","2",212500000,2.13e+08
"873","2",2.13e+08,213500000
"874","2",213500000,2.14e+08
"875","2",2.14e+08,214500000
"876","2",214500000,2.15e+08
"877","2",2.15e+08,215500000
"878","2",215500000,2.16e+08
"879","2",2.16e+08,216500000
"880","2",216500000,2.17e+08
"881","2",2.17e+08,217500000
"882","2",217500000,2.18e+08
